timestamp,imagen,duracion_s,ram_used_MB,Volt,Curr,power
2025-07-10 00:13:52,000001.jpg,6.007,3481168,5136,656,3410
2025-07-10 00:14:01,000002.jpg,0.179,3501108,5136,656,3369
2025-07-10 00:14:03,000003.jpg,0.177,3512636,5096,1016,5177
2025-07-10 00:14:04,000004.jpg,0.89,3528024,5120,808,4136
2025-07-10 00:14:06,000005.jpg,0.095,3585208,5096,960,4892
2025-07-10 00:14:08,000006.jpg,0.225,3523700,5120,808,4136
2025-07-10 00:14:09,000007.jpg,0.095,3532916,5104,904,4614
2025-07-10 00:14:10,000008.jpg,0.181,3528060,5112,840,4294
2025-07-10 00:14:12,000009.jpg,0.097,3530724,5112,872,4457
2025-07-10 00:14:13,000010.jpg,0.105,3535744,5096,952,4851
2025-07-10 00:14:14,000011.jpg,0.191,3554340,5096,968,4932
2025-07-10 00:14:15,000012.jpg,0.111,3550532,5096,976,4973
2025-07-10 00:14:16,000013.jpg,0.214,3559776,5096,1008,5136
2025-07-10 00:14:17,000014.jpg,0.254,3536956,5104,920,4736
2025-07-10 00:14:19,000015.jpg,0.187,3534620,5104,912,4654
2025-07-10 00:14:20,000016.jpg,0.204,3536584,5096,1024,5169
2025-07-10 00:14:21,000017.jpg,0.311,3549840,5096,1000,5096
2025-07-10 00:14:23,000018.jpg,0.108,3537112,5096,984,5014
2025-07-10 00:14:23,000019.jpg,0.416,3545988,5088,1024,5210
2025-07-10 00:14:24,000020.jpg,0.192,3550040,5096,968,4932
2025-07-10 00:14:26,000021.jpg,0.168,3563260,5096,1016,5136
2025-07-10 00:14:26,000022.jpg,0.124,3562960,5096,984,5014
2025-07-10 00:14:27,000023.jpg,0.139,3570396,5096,1008,5136
2025-07-10 00:14:29,000024.jpg,0.319,3548620,5096,1008,5136
2025-07-10 00:14:30,000025.jpg,0.111,3542252,5096,1000,5096
2025-07-10 00:14:31,000026.jpg,0.254,3544504,5096,1000,5096
2025-07-10 00:14:31,000027.jpg,0.112,3539568,5096,992,5055
2025-07-10 00:14:32,000028.jpg,0.26,3536468,5104,936,4777
2025-07-10 00:14:34,000029.jpg,0.136,3541068,5104,936,4777
2025-07-10 00:14:35,000030.jpg,0.307,3564064,5096,1000,5096
2025-07-10 00:14:37,000031.jpg,0.13,3561104,5096,984,5014
2025-07-10 00:14:38,000032.jpg,0.325,3566136,5096,992,5055
2025-07-10 00:14:39,000033.jpg,0.113,3549640,5096,1008,5136
2025-07-10 00:14:39,000034.jpg,0.305,3554064,5096,992,5055
2025-07-10 00:14:41,000035.jpg,0.14,3547584,5096,992,5055
2025-07-10 00:14:41,000036.jpg,0.309,3553848,5096,992,5055
2025-07-10 00:14:43,000037.jpg,0.183,3550332,5096,976,4973
2025-07-10 00:14:43,000038.jpg,0.282,3548932,5096,984,4973
2025-07-10 00:14:45,000039.jpg,0.271,3552448,5096,992,5055
2025-07-10 00:14:46,000040.jpg,0.265,3568740,5096,992,5055
2025-07-10 00:14:47,000041.jpg,0.146,3563608,5096,1000,5096
2025-07-10 00:14:48,000042.jpg,0.187,3566464,5096,1016,5177
2025-07-10 00:14:49,000043.jpg,0.117,3564460,5096,992,5055
