secuencia,imagen,tiempo_relativo_s
MOT17-02-DPM,000001.jpg,61.442
MOT17-02-DPM,000002.jpg,79.77
MOT17-02-DPM,000003.jpg,82.401
MOT17-02-DPM,000004.jpg,83.051
MOT17-02-DPM,000005.jpg,83.71
MOT17-02-DPM,000006.jpg,84.229
MOT17-02-DPM,000007.jpg,84.775
MOT17-02-DPM,000008.jpg,85.445
MOT17-02-DPM,000009.jpg,86.088
MOT17-02-DPM,000010.jpg,86.603
MOT17-02-DPM,000011.jpg,87.117
MOT17-02-DPM,000012.jpg,87.664
MOT17-02-DPM,000013.jpg,88.248
MOT17-02-DPM,000014.jpg,88.882
MOT17-02-DPM,000015.jpg,89.434
MOT17-02-DPM,000016.jpg,89.993
MOT17-02-DPM,000017.jpg,90.541
MOT17-02-DPM,000018.jpg,91.063
MOT17-02-DPM,000019.jpg,91.578
MOT17-02-DPM,000020.jpg,92.091
MOT17-02-DPM,000021.jpg,92.602
MOT17-02-DPM,000022.jpg,93.146
MOT17-02-DPM,000023.jpg,93.677
MOT17-02-DPM,000024.jpg,94.204
MOT17-02-DPM,000025.jpg,94.742
MOT17-02-DPM,000026.jpg,95.252
MOT17-02-DPM,000027.jpg,95.765
MOT17-02-DPM,000028.jpg,96.283
MOT17-02-DPM,000029.jpg,96.835
MOT17-02-DPM,000030.jpg,97.347
MOT17-02-DPM,000031.jpg,97.859
MOT17-02-DPM,000032.jpg,98.393
MOT17-02-DPM,000033.jpg,98.917
MOT17-02-DPM,000034.jpg,99.451
MOT17-02-DPM,000035.jpg,99.965
MOT17-02-DPM,000036.jpg,100.486
MOT17-02-DPM,000037.jpg,100.996
MOT17-02-DPM,000038.jpg,101.511
MOT17-02-DPM,000039.jpg,102.043
MOT17-02-DPM,000040.jpg,102.588
MOT17-02-DPM,000041.jpg,103.103
MOT17-02-DPM,000042.jpg,103.63
MOT17-02-DPM,000043.jpg,104.15
MOT17-02-DPM,000044.jpg,104.677
MOT17-02-DPM,000045.jpg,105.203
MOT17-02-DPM,000046.jpg,105.72
MOT17-02-DPM,000047.jpg,106.25
MOT17-02-DPM,000048.jpg,106.772
MOT17-02-DPM,000049.jpg,107.285
MOT17-02-DPM,000050.jpg,107.8
MOT17-02-DPM,000051.jpg,108.323
MOT17-02-DPM,000052.jpg,108.837
MOT17-02-DPM,000053.jpg,109.367
MOT17-02-DPM,000054.jpg,109.889
MOT17-02-DPM,000055.jpg,110.409
MOT17-02-DPM,000056.jpg,110.92
MOT17-02-DPM,000057.jpg,111.429
MOT17-02-DPM,000058.jpg,111.955
MOT17-02-DPM,000059.jpg,112.534
MOT17-02-DPM,000060.jpg,113.13
MOT17-02-DPM,000061.jpg,113.64
MOT17-02-DPM,000062.jpg,114.158
MOT17-02-DPM,000063.jpg,114.672
MOT17-02-DPM,000064.jpg,115.186
MOT17-02-DPM,000065.jpg,115.698
MOT17-02-DPM,000066.jpg,116.213
MOT17-02-DPM,000067.jpg,116.931
MOT17-02-DPM,000068.jpg,117.457
MOT17-02-DPM,000069.jpg,117.975
MOT17-02-DPM,000070.jpg,118.512
MOT17-02-DPM,000071.jpg,119.026
